"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"164","Class 2","Maryland",90158.75,94917.88,"Pennsylvania"
"165","Class 3","Maryland",135121.24,260057.51,"Pennsylvania"
"166","Class 4","Maryland",635065.66,1032357.66,"Pennsylvania"
"167","Unprotected","Maryland",0,1269405.98,"Pennsylvania"
"168","Class 1","New Jersey",611558.27,611558.27,"Pennsylvania"
"169","Class 2","New Jersey",65969.21,65969.21,"Pennsylvania"
"170","Class 3","New Jersey",199308.94,215114.19,"Pennsylvania"
"171","Class 4","New Jersey",2208164.63,2249703.13,"Pennsylvania"
"172","Unprotected","New Jersey",0,191682.04,"Pennsylvania"
"173","Class 1","New York",432144.91,432144.91,"Pennsylvania"
"174","Class 2","New York",399270.16,792158.02,"Pennsylvania"
"175","Class 3","New York",418196.98,1177038.19,"Pennsylvania"
"176","Class 4","New York",577027.91,1643124.23,"Pennsylvania"
"177","Unprotected","New York",0,13149606.65,"Pennsylvania"
"178","Class 1","Ohio",48026.88,48026.88,"Pennsylvania"
"179","Class 2","Ohio",81707.5,81707.5,"Pennsylvania"
"180","Class 3","Ohio",172562.08,428789.84,"Pennsylvania"
"181","Class 4","Ohio",7939.16,23698.43,"Pennsylvania"
"182","Unprotected","Ohio",0,4093633.91,"Pennsylvania"
"183","Class 1","Virginia",12339.62,12339.62,"Pennsylvania"
"184","Class 3","Virginia",4610.79,11298.98,"Pennsylvania"
"185","Class 4","Virginia",31551.24,41195.25,"Pennsylvania"
"186","Unprotected","Virginia",0,96941.15,"Pennsylvania"
"187","Class 1","West Virginia",786673.03,786673.03,"Pennsylvania"
"188","Class 2","West Virginia",12570.49,22304.31,"Pennsylvania"
"189","Class 3","West Virginia",1359054.13,2098955.47,"Pennsylvania"
"190","Class 4","West Virginia",321076.35,444938.36,"Pennsylvania"
"191","Unprotected","West Virginia",0,12003460.01,"Pennsylvania"
"192","Class 1","Pennsylvania",4192669.45,4192669.45,"Pennsylvania"
"193","Class 2","Pennsylvania",527038.09,545652.8,"Pennsylvania"
"194","Class 3","Pennsylvania",2192359.88,3534786.66,"Pennsylvania"
"195","Class 4","Pennsylvania",26149655.36,30093764.45,"Pennsylvania"
"196","Unprotected","Pennsylvania",0,47785104.35,"Pennsylvania"
"197","Class 3","Maryland",43517.49,62498.38,"Delaware"
"198","Class 4","Maryland",216424.65,371340.1,"Delaware"
"199","Unprotected","Maryland",0,352456.29,"Delaware"
"200","Class 1","New Jersey",640122.73,640122.73,"Delaware"
"201","Class 3","New Jersey",734735.03,928083.59,"Delaware"
"202","Class 4","New Jersey",1516924.48,1574393.8,"Delaware"
"203","Unprotected","New Jersey",0,617267.93,"Delaware"
"204","Class 1","Pennsylvania",341833.05,341833.05,"Delaware"
"205","Class 2","Pennsylvania",187561.07,191635.1,"Delaware"
"206","Class 3","Pennsylvania",233645.72,425151.41,"Delaware"
"207","Class 4","Pennsylvania",877257.54,1109629.93,"Delaware"
"208","Unprotected","Pennsylvania",0,2927850.57,"Delaware"
"209","Class 1","Delaware",19150.51,19150.51,"Delaware"
"210","Class 2","Delaware",17133.56,18832.92,"Delaware"
"211","Class 3","Delaware",332201.02,341867.57,"Delaware"
"212","Class 4","Delaware",3519295.06,3742971.82,"Delaware"
"213","Unprotected","Delaware",0,100743.57,"Delaware"
"214","Class 3","Delaware",10846.18,10854.77,"Maryland"
"215","Class 4","Delaware",1621974.34,1733861.58,"Maryland"
"216","Unprotected","Delaware",0,5088.2,"Maryland"
"217","Class 2","District of Columbia",9694.01,9694.01,"Maryland"
"218","Class 3","District of Columbia",12226.22,15906.28,"Maryland"
"219","Class 4","District of Columbia",2566.92,4085.34,"Maryland"
"220","Unprotected","District of Columbia",0,41113.93,"Maryland"
"221","Class 1","Pennsylvania",454755.22,454755.22,"Maryland"
"222","Class 2","Pennsylvania",146875.89,146875.89,"Maryland"
"223","Class 3","Pennsylvania",297849.19,592668.34,"Maryland"
"224","Class 4","Pennsylvania",5396950.93,6693128.69,"Maryland"
"225","Unprotected","Pennsylvania",0,12159713.96,"Maryland"
"226","Class 1","Virginia",49421.15,49421.15,"Maryland"
"227","Class 2","Virginia",329595.99,489637.8,"Maryland"
"228","Class 3","Virginia",464510.75,563105.86,"Maryland"
"229","Class 4","Virginia",2377242.82,2990668.52,"Maryland"
"230","Unprotected","Virginia",0,4780769.14,"Maryland"
"231","Class 1","West Virginia",219615.03,219615.03,"Maryland"
"232","Class 2","West Virginia",4934.81,7055.37,"Maryland"
"233","Class 3","West Virginia",641335.77,1068690.03,"Maryland"
"234","Class 4","West Virginia",170626.12,245688.62,"Maryland"
"235","Unprotected","West Virginia",0,5902810.39,"Maryland"
"236","Class 1","Maryland",2396.22,2396.22,"Maryland"
"237","Class 2","Maryland",634518.89,639278.02,"Maryland"
"238","Class 3","Maryland",1049642.13,1756729.99,"Maryland"
"239","Class 4","Maryland",4674268.61,9130229.62,"Maryland"
"240","Unprotected","Maryland",0,8334466.11,"Maryland"
"241","Class 3","Delaware",10408.52,10408.52,"Virginia"
"242","Class 4","Delaware",1163573.95,1248228.92,"Virginia"
"243","Unprotected","Delaware",0,2580.26,"Virginia"
"244","Class 2","District of Columbia",9694.01,9694.01,"Virginia"
"245","Class 3","District of Columbia",12226.22,15906.28,"Virginia"
"246","Class 4","District of Columbia",2566.92,4085.34,"Virginia"
"247","Unprotected","District of Columbia",0,41113.93,"Virginia"
"248","Class 2","Kentucky",38001.01,38001.01,"Virginia"
"249","Class 3","Kentucky",964,8264.68,"Virginia"
"250","Class 4","Kentucky",56156.97,58848.32,"Virginia"
"251","Unprotected","Kentucky",0,85392.95,"Virginia"
"252","Class 1","Maryland",2396.22,2396.22,"Virginia"
"253","Class 2","Maryland",316222.86,316222.86,"Virginia"
"254","Class 3","Maryland",658981.14,1055864.83,"Virginia"
"255","Class 4","Maryland",2499774.61,4459928.56,"Virginia"
"256","Unprotected","Maryland",0,4007053.14,"Virginia"
"257","Class 1","North Carolina",43598.87,43598.87,"Virginia"
"258","Class 2","North Carolina",599885.82,599885.82,"Virginia"
"259","Class 3","North Carolina",21195.32,45182.81,"Virginia"
"260","Class 4","North Carolina",198703.92,501944.73,"Virginia"
"261","Unprotected","North Carolina",0,4777314.96,"Virginia"
"262","Class 1","Pennsylvania",87053.79,87053.79,"Virginia"
"263","Class 3","Pennsylvania",64717.23,118726.62,"Virginia"
"264","Class 4","Pennsylvania",987528.64,1273099.62,"Virginia"
"265","Unprotected","Pennsylvania",0,1750774.43,"Virginia"
"266","Class 2","Tennessee",5856.67,5856.67,"Virginia"
"267","Class 3","Tennessee",344015.6,432194.77,"Virginia"
"268","Class 4","Tennessee",9353.48,12148.48,"Virginia"
"269","Unprotected","Tennessee",0,215213.34,"Virginia"
"270","Class 1","West Virginia",226098.71,226098.71,"Virginia"
"271","Class 2","West Virginia",7939.17,11659.6,"Virginia"
"272","Class 3","West Virginia",875489.92,1402119.02,"Virginia"
"273","Class 4","West Virginia",193610.44,280113,"Virginia"
"274","Unprotected","West Virginia",0,7072017.79,"Virginia"
"275","Class 1","Virginia",226262.89,226262.89,"Virginia"
"276","Class 2","Virginia",2312381.84,2585259.62,"Virginia"
"277","Class 3","Virginia",3738378.37,5215616.97,"Virginia"
"278","Class 4","Virginia",19365742.98,24854007.27,"Virginia"
"279","Unprotected","Virginia",0,51724124.47,"Virginia"
"280","Class 2","Kentucky",183505.18,183505.18,"West Virginia"
"281","Class 3","Kentucky",15496.65,36808.93,"West Virginia"
"282","Class 4","Kentucky",2758599.5,2864194.34,"West Virginia"
"283","Unprotected","Kentucky",0,1610678.69,"West Virginia"
"284","Class 1","Maryland",2396.22,2396.22,"West Virginia"
"285","Class 2","Maryland",38391.49,43150.62,"West Virginia"
"286","Class 3","Maryland",197710.49,409430.15,"West Virginia"
"287","Class 4","Maryland",605405.12,983611.25,"West Virginia"
"288","Unprotected","Maryland",0,1494038.26,"West Virginia"
"289","Class 1","North Carolina",43598.87,43598.87,"West Virginia"
"290","Class 2","North Carolina",597281.65,597281.65,"West Virginia"
"291","Class 3","North Carolina",2244.14,6656.67,"West Virginia"
"292","Class 4","North Carolina",43994.05,183150.01,"West Virginia"
"293","Unprotected","North Carolina",0,791752.93,"West Virginia"
"294","Class 1","Ohio",48026.88,48026.88,"West Virginia"
"295","Class 2","Ohio",121331.5,121331.5,"West Virginia"
"296","Class 3","Ohio",718240.24,1312352.75,"West Virginia"
"297","Class 4","Ohio",945462.66,1618829.38,"West Virginia"
"298","Unprotected","Ohio",0,13051252.65,"West Virginia"
"299","Class 1","Pennsylvania",102273.31,102273.31,"West Virginia"
"300","Class 3","Pennsylvania",267206.29,519828.55,"West Virginia"
"301","Class 4","Pennsylvania",2013548.93,2388619.84,"West Virginia"
"302","Unprotected","Pennsylvania",0,6504557.28,"West Virginia"
"303","Class 2","Tennessee",5856.67,5856.67,"West Virginia"
"304","Class 1","Virginia",64632.7,64632.7,"West Virginia"
"305","Class 2","Virginia",351559.56,525495.08,"West Virginia"
"306","Class 3","Virginia",582819.88,789801.51,"West Virginia"
"307","Class 4","Virginia",2082341.49,3046406.01,"West Virginia"
"308","Unprotected","Virginia",0,9193970.51,"West Virginia"
"309","Class 1","West Virginia",1681666.91,1681666.91,"West Virginia"
"310","Class 2","West Virginia",435598.05,538073.88,"West Virginia"
"311","Class 3","West Virginia",4892907.13,7304002.52,"West Virginia"
"312","Class 4","West Virginia",547872.28,795637.29,"West Virginia"
"313","Unprotected","West Virginia",0,41099014.37,"West Virginia"
"314","Class 1","Maryland",2396.22,2396.22,"District of Columbia"
"315","Class 2","Maryland",174887.9,174887.9,"District of Columbia"
"316","Class 3","Maryland",361669.98,678098.72,"District of Columbia"
"317","Class 4","Maryland",1135672.77,2088166.53,"District of Columbia"
"318","Unprotected","Maryland",0,2732961.68,"District of Columbia"
"319","Class 1","Pennsylvania",87053.79,87053.79,"District of Columbia"
"320","Class 3","Pennsylvania",64717.23,118726.62,"District of Columbia"
"321","Class 4","Pennsylvania",987528.64,1273099.62,"District of Columbia"
"322","Unprotected","Pennsylvania",0,1750774.43,"District of Columbia"
"323","Class 1","Virginia",49421.15,49421.15,"District of Columbia"
"324","Class 2","Virginia",324359.8,484401.61,"District of Columbia"
"325","Class 3","Virginia",336066.4,424154.61,"District of Columbia"
"326","Class 4","Virginia",982858.52,1374383.68,"District of Columbia"
"327","Unprotected","Virginia",0,4171971.78,"District of Columbia"
"328","Class 1","West Virginia",219615.03,219615.03,"District of Columbia"
"329","Class 2","West Virginia",4766.36,6886.92,"District of Columbia"
"330","Class 3","West Virginia",633454.56,1046625.11,"District of Columbia"
"331","Class 4","West Virginia",170626.12,245688.62,"District of Columbia"
"332","Unprotected","West Virginia",0,5804643.97,"District of Columbia"
"333","Class 2","District of Columbia",9694.01,9694.01,"District of Columbia"
"334","Class 3","District of Columbia",12226.22,15906.28,"District of Columbia"
"335","Class 4","District of Columbia",2566.92,4085.34,"District of Columbia"
"336","Unprotected","District of Columbia",0,41113.93,"District of Columbia"
"337","Class 2","Georgia",91074.27,92955.04,"North Carolina"
"338","Class 3","Georgia",93599.93,93860.79,"North Carolina"
"339","Class 4","Georgia",753127.36,788549.74,"North Carolina"
"340","Unprotected","Georgia",0,44945.95,"North Carolina"
"341","Class 2","South Carolina",68398.01,68398.01,"North Carolina"
"342","Class 3","South Carolina",15078.25,30286.33,"North Carolina"
"343","Class 4","South Carolina",23688.91,45253.53,"North Carolina"
"344","Unprotected","South Carolina",0,768681.14,"North Carolina"
"345","Class 2","Tennessee",148479.45,166135.79,"North Carolina"
"346","Class 3","Tennessee",207653.37,310931.61,"North Carolina"
"347","Class 4","Tennessee",36569.27,54226.46,"North Carolina"
"348","Unprotected","Tennessee",0,201304.31,"North Carolina"
"349","Class 1","Virginia",3302.57,3302.57,"North Carolina"
"350","Class 2","Virginia",673690.25,674278.82,"North Carolina"
"351","Class 3","Virginia",499918.44,855717.88,"North Carolina"
"352","Class 4","Virginia",536365.09,1021512.64,"North Carolina"
"353","Unprotected","Virginia",0,21286203.51,"North Carolina"
"354","Class 1","North Carolina",129570.43,129570.43,"North Carolina"
"355","Class 2","North Carolina",5465345.91,5508500.44,"North Carolina"
"356","Class 3","North Carolina",3597303.84,4499871.72,"North Carolina"
"357","Class 4","North Carolina",26538303.62,31758803.47,"North Carolina"
"358","Unprotected","North Carolina",0,54835743.82,"North Carolina"
"359","Class 1","Georgia",29251.37,29251.37,"South Carolina"
"360","Class 2","Georgia",62913.18,62913.18,"South Carolina"
"361","Class 3","Georgia",388256.53,558890.78,"South Carolina"
"362","Class 4","Georgia",1795607.14,2098701.13,"South Carolina"
"363","Unprotected","Georgia",0,7828473.69,"South Carolina"
"364","Class 1","North Carolina",85971.56,85971.56,"South Carolina"
"365","Class 2","North Carolina",841441.81,841693.26,"South Carolina"
"366","Class 3","North Carolina",316138.17,486842.22,"South Carolina"
"367","Class 4","North Carolina",1541621.07,2730256.19,"South Carolina"
"368","Unprotected","North Carolina",0,11179245.98,"South Carolina"
"369","Class 1","South Carolina",47718.87,47718.87,"South Carolina"
"370","Class 2","South Carolina",2569234.99,2587358.22,"South Carolina"
"371","Class 3","South Carolina",2354378.24,3495252.69,"South Carolina"
"372","Class 4","South Carolina",2305634.71,3748857.27,"South Carolina"
"373","Unprotected","South Carolina",0,42849398.5,"South Carolina"
"374","Class 1","Alabama",94545.15,94545.15,"Georgia"
"375","Class 2","Alabama",5130.08,5130.08,"Georgia"
"376","Class 3","Alabama",212180.31,290571.13,"Georgia"
"377","Class 4","Alabama",295065.78,494971.02,"Georgia"
"378","Unprotected","Alabama",0,6346279.54,"Georgia"
"379","Class 2","Florida",23243.13,23243.13,"Georgia"
"380","Class 3","Florida",151224.42,170189.94,"Georgia"
"381","Class 4","Florida",117425.21,178359.63,"Georgia"
"382","Unprotected","Florida",0,769053.63,"Georgia"
"383","Class 1","North Carolina",12539.89,12539.89,"Georgia"
"384","Class 2","North Carolina",258675.3,261192.56,"Georgia"
"385","Class 3","North Carolina",46696.95,64038.98,"Georgia"
"386","Class 4","North Carolina",456620.67,734857.54,"Georgia"
"387","Unprotected","North Carolina",0,699641.61,"Georgia"
"388","Class 1","South Carolina",31850.56,31850.56,"Georgia"
"389","Class 2","South Carolina",285457.68,285457.68,"Georgia"
"390","Class 3","South Carolina",234653.81,372002.32,"Georgia"
"391","Class 4","South Carolina",815378.93,1305758.81,"Georgia"
"392","Unprotected","South Carolina",0,6170266.16,"Georgia"
"393","Class 2","Tennessee",126711.79,133413.43,"Georgia"
"394","Class 3","Tennessee",895800.54,1242079.55,"Georgia"
"395","Class 4","Tennessee",106178.48,200473.57,"Georgia"
"396","Unprotected","Tennessee",0,4228221.21,"Georgia"
"397","Class 1","Georgia",74428.93,74428.93,"Georgia"
"398","Class 2","Georgia",792668.25,832949.08,"Georgia"
"399","Class 3","Georgia",7043392.39,9884996.64,"Georgia"
"400","Class 4","Georgia",14744728.27,17130127.64,"Georgia"
"401","Unprotected","Georgia",0,83932941.45,"Georgia"
"402","Class 2","Alabama",56242.94,56242.94,"Florida"
"403","Class 3","Alabama",2111377.36,3183917.62,"Florida"
"404","Class 4","Alabama",768617.34,1383786.7,"Florida"
"405","Unprotected","Alabama",0,21809295.95,"Florida"
"406","Class 2","Georgia",415962.63,453759.82,"Florida"
"407","Class 3","Georgia",2253634.75,3222969.27,"Florida"
"408","Class 4","Georgia",2943112.35,3709960.63,"Florida"
"409","Unprotected","Georgia",0,31899841.52,"Florida"
"410","Class 1","Florida",1115674.48,1115674.48,"Florida"
"411","Class 2","Florida",7532159.9,7534900.79,"Florida"
"412","Class 3","Florida",2694419.58,3814104.2,"Florida"
"413","Class 4","Florida",5224214.67,7167754.68,"Florida"
"414","Unprotected","Florida",0,25999700.3,"Florida"
"415","Class 2","Florida",110401.5,110401.5,"Alabama"
"416","Class 3","Florida",40322.62,64113.27,"Alabama"
"417","Class 4","Florida",110011.5,128070.55,"Alabama"
"418","Unprotected","Florida",0,797487.1,"Alabama"
"419","Class 1","Georgia",45177.56,45177.56,"Alabama"
"420","Class 2","Georgia",332872.05,334752.83,"Alabama"
"421","Class 3","Georgia",1927618.97,2757040.16,"Alabama"
"422","Class 4","Georgia",7762130.92,8629766.99,"Alabama"
"423","Unprotected","Georgia",0,15449911.2,"Alabama"
"424","Class 2","Mississippi",17187.9,17841.83,"Alabama"
"425","Class 3","Mississippi",1120979.42,1684985.1,"Alabama"
"426","Class 4","Mississippi",479893.53,1072231.29,"Alabama"
"427","Unprotected","Mississippi",0,17090545.99,"Alabama"
"428","Class 2","North Carolina",95252.57,96381.08,"Alabama"
"429","Class 3","North Carolina",5728.27,6776.54,"Alabama"
"430","Class 4","North Carolina",393713.85,646028.39,"Alabama"
"431","Unprotected","North Carolina",0,675600.36,"Alabama"
"432","Class 2","Tennessee",126711.79,133413.43,"Alabama"
"433","Class 3","Tennessee",1290414.97,1866870.68,"Alabama"
"434","Class 4","Tennessee",184928.77,383816.75,"Alabama"
"435","Unprotected","Tennessee",0,10862043.03,"Alabama"
"436","Class 1","Alabama",782931.78,782931.78,"Alabama"
"437","Class 2","Alabama",93365.02,105432.27,"Alabama"
"438","Class 3","Alabama",7191723.62,10503523.25,"Alabama"
"439","Class 4","Alabama",4761949.66,7940220.9,"Alabama"
"440","Unprotected","Alabama",0,101129758.36,"Alabama"
"441","Class 3","Alabama",851966.25,1355591.71,"Tennessee"
