"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"890","Class 4","Idaho",62892300.02,79131635.22,"Idaho"
"891","Unprotected","Idaho",0,40860696.06,"Idaho"
"892","Class 2","Colorado",431114.21,450162.76,"Wyoming"
"893","Class 3","Colorado",245544.72,389064.11,"Wyoming"
"894","Class 4","Colorado",1537482.89,2117705.92,"Wyoming"
"895","Unprotected","Colorado",0,3613542.38,"Wyoming"
"896","Class 2","Idaho",275879.7,275879.7,"Wyoming"
"897","Class 3","Idaho",21419.6,26632.01,"Wyoming"
"898","Class 4","Idaho",1559094.03,1811235.85,"Wyoming"
"899","Unprotected","Idaho",0,336822.82,"Wyoming"
"900","Class 1","Montana",907495.79,907495.79,"Wyoming"
"901","Class 2","Montana",205861.41,205863.9,"Wyoming"
"902","Class 3","Montana",80462.04,80561.09,"Wyoming"
"903","Class 4","Montana",1626331.44,2167482.6,"Wyoming"
"904","Unprotected","Montana",0,1251544.87,"Wyoming"
"905","Class 3","Nebraska",5449.28,16673.4,"Wyoming"
"906","Class 4","Nebraska",2494.9,7664.46,"Wyoming"
"907","Unprotected","Nebraska",0,270661.19,"Wyoming"
"908","Class 3","South Dakota",12172.86,17595.09,"Wyoming"
"909","Class 4","South Dakota",919439.89,1076601.35,"Wyoming"
"910","Unprotected","South Dakota",0,409079.53,"Wyoming"
"911","Class 2","Utah",334865.26,334865.26,"Wyoming"
"912","Class 3","Utah",150839.18,197896.55,"Wyoming"
"913","Class 4","Utah",727949.88,905373.87,"Wyoming"
"914","Unprotected","Utah",0,1766609.38,"Wyoming"
"915","Class 1","Wyoming",566669.11,566673.24,"Wyoming"
"916","Class 2","Wyoming",13491719.18,14070992.64,"Wyoming"
"917","Class 3","Wyoming",3396847.96,4720175.36,"Wyoming"
"918","Class 4","Wyoming",32171537.22,59912274.51,"Wyoming"
"919","Unprotected","Wyoming",0,94755759.84,"Wyoming"
"920","Class 1","Colorado",53222.04,53222.04,"Nebraska"
"921","Class 2","Colorado",714519.38,737343.92,"Nebraska"
"922","Class 3","Colorado",977600.06,1475608.18,"Nebraska"
"923","Class 4","Colorado",4512371.33,8693750.91,"Nebraska"
"924","Unprotected","Colorado",0,18696816.32,"Nebraska"
"925","Class 2","Iowa",73525.83,73525.83,"Nebraska"
"926","Class 3","Iowa",440374.61,1249552.99,"Nebraska"
"927","Class 4","Iowa",90105.4,198114.31,"Nebraska"
"928","Unprotected","Iowa",0,21244786.36,"Nebraska"
"929","Class 3","Kansas",47185.22,133647.47,"Nebraska"
"930","Class 4","Kansas",1292.04,6835.4,"Nebraska"
"931","Unprotected","Kansas",0,14014226.44,"Nebraska"
"932","Class 3","Minnesota",33199.75,65963.78,"Nebraska"
"933","Class 4","Minnesota",203308.07,266439.26,"Nebraska"
"934","Unprotected","Minnesota",0,96526.94,"Nebraska"
"935","Class 3","Missouri",21616.34,113399.93,"Nebraska"
"936","Unprotected","Missouri",0,594579.06,"Nebraska"
"937","Class 2","South Dakota",85149.74,102964.07,"Nebraska"
"938","Class 3","South Dakota",542690.89,1505473.96,"Nebraska"
"939","Class 4","South Dakota",1527558.49,2480611.67,"Nebraska"
"940","Unprotected","South Dakota",0,23619743.24,"Nebraska"
"941","Class 2","Wyoming",589526.62,678556.95,"Nebraska"
"942","Class 3","Wyoming",784352.39,1191171.2,"Nebraska"
"943","Class 4","Wyoming",7167641.97,15792665.81,"Nebraska"
"944","Unprotected","Wyoming",0,19699385.78,"Nebraska"
"945","Class 1","Nebraska",318042.74,318042.74,"Nebraska"
"946","Class 2","Nebraska",202022.1,211435.91,"Nebraska"
"947","Class 3","Nebraska",1615487.78,3877558.06,"Nebraska"
"948","Class 4","Nebraska",801751.41,1878493.99,"Nebraska"
"949","Unprotected","Nebraska",0,116051223.88,"Nebraska"
"950","Unprotected","Arizona",0,360245.98,"Colorado"
"951","Unprotected","Kansas",0,135702.07,"Colorado"
"952","Class 3","Nebraska",3692.79,10583.6,"Colorado"
"953","Class 4","Nebraska",4842.16,21835.04,"Colorado"
"954","Unprotected","Nebraska",0,3659630.03,"Colorado"
"955","Class 1","New Mexico",111785.58,111785.58,"Colorado"
"956","Class 2","New Mexico",24849.51,24849.51,"Colorado"
"957","Class 3","New Mexico",216163.05,226699.96,"Colorado"
"958","Class 4","New Mexico",2063132.53,2543509.44,"Colorado"
"959","Unprotected","New Mexico",0,688016.15,"Colorado"
"960","Class 3","Oklahoma",485.56,2459.2,"Colorado"
"961","Class 4","Oklahoma",13622.8,56692.38,"Colorado"
"962","Unprotected","Oklahoma",0,1364031.75,"Colorado"
"963","Class 2","Utah",333216.7,368505.68,"Colorado"
"964","Class 3","Utah",277891.03,358057.13,"Colorado"
"965","Class 4","Utah",1455584.76,1729965.05,"Colorado"
"966","Unprotected","Utah",0,1308632.16,"Colorado"
"967","Class 2","Wyoming",1652953.63,1814136.95,"Colorado"
"968","Class 3","Wyoming",621312.18,882411.7,"Colorado"
"969","Class 4","Wyoming",5043632.58,9712452.04,"Colorado"
"970","Unprotected","Wyoming",0,22666369.94,"Colorado"
"971","Class 1","Colorado",64183.04,64183.04,"Colorado"
"972","Class 2","Colorado",11003739.89,11917507.3,"Colorado"
"973","Class 3","Colorado",7687428.33,10616976.48,"Colorado"
"974","Class 4","Colorado",35473526.37,55152530.49,"Colorado"
"975","Unprotected","Colorado",0,76321688.78,"Colorado"
"976","Class 3","Colorado",106469.95,199010.96,"Kansas"
"977","Class 4","Colorado",1271215.45,3491601.22,"Kansas"
"978","Unprotected","Colorado",0,8998362.47,"Kansas"
"979","Class 3","Iowa",141568.78,399603.6,"Kansas"
"980","Class 4","Iowa",18882.67,41931.52,"Kansas"
"981","Unprotected","Iowa",0,12380027.25,"Kansas"
"982","Class 3","Missouri",482002.03,1003608.64,"Kansas"
"983","Class 4","Missouri",15956.94,57029.56,"Kansas"
"984","Unprotected","Missouri",0,7255835.46,"Kansas"
"985","Class 3","Nebraska",205733.38,713662.89,"Kansas"
"986","Class 4","Nebraska",54434.66,189786.21,"Kansas"
"987","Unprotected","Nebraska",0,37447150.73,"Kansas"
"988","Class 4","New Mexico",856701.97,1163563.7,"Kansas"
"989","Unprotected","New Mexico",0,350540.35,"Kansas"
"990","Class 3","Oklahoma",163654.66,259973.34,"Kansas"
"991","Class 4","Oklahoma",22438.45,72113.51,"Kansas"
"992","Unprotected","Oklahoma",0,3493788.4,"Kansas"
"993","Class 1","Kansas",145692.62,145692.62,"Kansas"
"994","Class 2","Kansas",1974861.62,1974861.62,"Kansas"
"995","Class 3","Kansas",1858757.28,3882449.49,"Kansas"
"996","Class 4","Kansas",251899.95,491949.11,"Kansas"
"997","Unprotected","Kansas",0,186892468.49,"Kansas"
"998","Class 1","Arizona",29425.41,29425.41,"New Mexico"
"999","Class 2","Arizona",107226.2,151463.85,"New Mexico"
"1000","Class 3","Arizona",83143.41,90423.65,"New Mexico"
"1001","Class 4","Arizona",652090.07,772032.61,"New Mexico"
"1002","Unprotected","Arizona",0,1997988.1,"New Mexico"
"1003","Class 1","Colorado",6087.84,6087.84,"New Mexico"
"1004","Class 2","Colorado",1274201.11,1333832.9,"New Mexico"
"1005","Class 3","Colorado",208918.77,224815.69,"New Mexico"
"1006","Class 4","Colorado",2042699.8,2894546.42,"New Mexico"
"1007","Unprotected","Colorado",0,3828252.41,"New Mexico"
"1008","Class 4","Oklahoma",4079.24,11565.35,"New Mexico"
"1009","Unprotected","Oklahoma",0,53417.75,"New Mexico"
"1010","Class 2","Texas",88281.79,125733.03,"New Mexico"
"1011","Class 4","Texas",42793.35,108992.05,"New Mexico"
"1012","Unprotected","Texas",0,1292291.96,"New Mexico"
"1013","Unprotected","Utah",0,1632.97,"New Mexico"
"1014","Class 1","New Mexico",2167982.02,2167982.02,"New Mexico"
"1015","Class 2","New Mexico",5698626.3,6391297.69,"New Mexico"
"1016","Class 3","New Mexico",7385552.4,8508257.02,"New Mexico"
"1017","Class 4","New Mexico",69649593.55,93668488.94,"New Mexico"
"1018","Unprotected","New Mexico",0,67473907.98,"New Mexico"
"1019","Class 2","Arkansas",136642.83,141951.01,"Oklahoma"
"1020","Class 3","Arkansas",85072.96,147061.18,"Oklahoma"
"1021","Class 4","Arkansas",797331.72,1130884.86,"Oklahoma"
"1022","Unprotected","Arkansas",0,4328669.48,"Oklahoma"
"1023","Class 3","Colorado",10638.11,11939.55,"Oklahoma"
"1024","Class 4","Colorado",661083.39,1401475.48,"Oklahoma"
"1025","Unprotected","Colorado",0,986009.56,"Oklahoma"
"1026","Class 1","Kansas",109475.6,109475.6,"Oklahoma"
"1027","Class 2","Kansas",1113791.5,1113791.5,"Oklahoma"
"1028","Class 3","Kansas",897555.42,1698483.72,"Oklahoma"
"1029","Class 4","Kansas",151765.83,251871.37,"Oklahoma"
"1030","Unprotected","Kansas",0,46637995.72,"Oklahoma"
"1031","Class 3","Missouri",276208.66,461439.04,"Oklahoma"
"1032","Class 4","Missouri",1851.36,4202.39,"Oklahoma"
"1033","Unprotected","Missouri",0,3732211.97,"Oklahoma"
"1034","Class 4","New Mexico",1475787.93,2640850.64,"Oklahoma"
"1035","Unprotected","New Mexico",0,2903760.3,"Oklahoma"
"1036","Class 3","Texas",600787.63,1065183.59,"Oklahoma"
"1037","Class 4","Texas",294647.23,644172.87,"Oklahoma"
"1038","Unprotected","Texas",0,35461320.9,"Oklahoma"
"1039","Class 1","Oklahoma",602487.82,602487.82,"Oklahoma"
"1040","Class 2","Oklahoma",160064.05,171598.79,"Oklahoma"
"1041","Class 3","Oklahoma",5499601.29,9126827.93,"Oklahoma"
"1042","Class 4","Oklahoma",1542771.42,2715925.6,"Oklahoma"
"1043","Unprotected","Oklahoma",0,113682350.95,"Oklahoma"
"1044","Class 3","Arkansas",17651.44,30468.09,"Texas"
"1045","Unprotected","Arkansas",0,379975.01,"Texas"
"1046","Class 3","Colorado",25093.65,25390.57,"Texas"
"1047","Class 4","Colorado",17363.79,18967.74,"Texas"
"1048","Unprotected","Colorado",0,14029.22,"Texas"
"1049","Class 2","Louisiana",14579.51,14579.51,"Texas"
"1050","Class 3","Louisiana",15566.13,28495.28,"Texas"
"1051","Class 4","Louisiana",141193.97,215056.54,"Texas"
"1052","Unprotected","Louisiana",0,2651212.12,"Texas"
"1053","Class 1","New Mexico",130084.33,130084.33,"Texas"
"1054","Class 2","New Mexico",460285.01,481070.95,"Texas"
"1055","Class 3","New Mexico",674384.67,833852.72,"Texas"
"1056","Class 4","New Mexico",8852015.71,13624237.01,"Texas"
"1057","Unprotected","New Mexico",0,12647812.44,"Texas"
"1058","Class 2","Oklahoma",61387.87,71666.58,"Texas"
"1059","Class 3","Oklahoma",706520.54,1335009.69,"Texas"
"1060","Class 4","Oklahoma",464028.76,745092.98,"Texas"
"1061","Unprotected","Oklahoma",0,18842555.06,"Texas"
"1062","Class 1","Texas",59493.58,62291.66,"Texas"
"1063","Class 2","Texas",2497188.87,2741710.7,"Texas"
"1064","Class 3","Texas",6607354.84,11205802.93,"Texas"
"1065","Class 4","Texas",5408788.38,8849280.9,"Texas"
"1066","Unprotected","Texas",0,269390439.29,"Texas"
"1067","Class 2","Arizona",41254.63,65423.71,"Utah"
"1068","Class 3","Arizona",88167.99,148095.12,"Utah"
"1069","Class 4","Arizona",99902.32,209666.15,"Utah"
"1070","Unprotected","Arizona",0,10879757.21,"Utah"
"1071","Class 1","Colorado",4873.16,4873.16,"Utah"
"1072","Class 2","Colorado",3616271.5,3958193.59,"Utah"
"1073","Class 3","Colorado",2070367.97,2635069.35,"Utah"
"1074","Class 4","Colorado",9429048.27,12641151.07,"Utah"
"1075","Unprotected","Colorado",0,16001978.41,"Utah"
"1076","Class 2","Idaho",1966.88,1966.88,"Utah"
"1077","Class 3","Idaho",142587.5,189040.39,"Utah"
"1078","Class 4","Idaho",3169216.51,4538180.72,"Utah"
"1079","Unprotected","Idaho",0,2222913.99,"Utah"
"1080","Class 2","Nevada",620878.8,816053.13,"Utah"
"1081","Class 3","Nevada",119721.08,151383.92,"Utah"
"1082","Class 4","Nevada",2856467.16,4938067.29,"Utah"
"1083","Unprotected","Nevada",0,4441151.45,"Utah"
"1084","Class 3","New Mexico",5202.56,5296.48,"Utah"
"1085","Class 4","New Mexico",236098.39,275307.48,"Utah"
"1086","Unprotected","New Mexico",0,47440.09,"Utah"
"1087","Class 2","Wyoming",1385412.03,1478612.24,"Utah"
"1088","Class 3","Wyoming",351847.31,578630.01,"Utah"
"1089","Class 4","Wyoming",4237001.46,7660088.58,"Utah"
"1090","Unprotected","Wyoming",0,19912908.86,"Utah"
"1091","Class 1","Utah",334124.82,334124.82,"Utah"
"1092","Class 2","Utah",13540901.59,16562274.12,"Utah"
"1093","Class 3","Utah",7743466.45,9966005.25,"Utah"
"1094","Class 4","Utah",24948827.24,32078151.54,"Utah"
"1095","Unprotected","Utah",0,77388684.06,"Utah"
"1096","Class 2","California",1989591.2,2299110.66,"Arizona"
"1097","Class 3","California",1738071.73,1896090.55,"Arizona"
"1098","Class 4","California",2307527.48,2715898.65,"Arizona"
"1099","Unprotected","California",0,875434.53,"Arizona"
"1100","Class 2","Colorado",1067548.49,1085398.69,"Arizona"
"1101","Class 3","Colorado",152722.17,168941.19,"Arizona"
"1102","Class 4","Colorado",1611598.27,2176949.07,"Arizona"
"1103","Unprotected","Colorado",0,2106629.98,"Arizona"
"1104","Class 2","Nevada",5801145.4,6490627.67,"Arizona"
"1105","Class 3","Nevada",3682087.76,4272209.81,"Arizona"
"1106","Class 4","Nevada",7694796.69,10191988.4,"Arizona"
"1107","Unprotected","Nevada",0,8370839.37,"Arizona"
"1108","Class 1","New Mexico",521795.95,521795.95,"Arizona"
"1109","Class 2","New Mexico",2109869.24,2228431.72,"Arizona"
"1110","Class 3","New Mexico",984950.39,1129954.69,"Arizona"
"1111","Class 4","New Mexico",17432186.62,22345484.5,"Arizona"
"1112","Unprotected","New Mexico",0,11585933.05,"Arizona"
"1113","Class 1","Utah",222282.74,222282.74,"Arizona"
"1114","Class 2","Utah",5917949.41,7322142.46,"Arizona"
"1115","Class 3","Utah",2349883.22,2667500.11,"Arizona"
"1116","Class 4","Utah",4036516.91,5020449.49,"Arizona"
"1117","Unprotected","Utah",0,8290134.79,"Arizona"
"1118","Class 1","Arizona",1673389.99,1673389.99,"Arizona"
"1119","Class 2","Arizona",20194703.76,23334321.57,"Arizona"
"1120","Class 3","Arizona",13165646.43,16156965.68,"Arizona"
"1121","Class 4","Arizona",37304243.49,45419852.79,"Arizona"
"1122","Unprotected","Arizona",0,140286724.33,"Arizona"
"1123","Class 2","Arizona",5068716.61,5441996.48,"Nevada"
"1124","Class 3","Arizona",5212781.46,5670377,"Nevada"
"1125","Class 4","Arizona",3803732.51,4524276.07,"Nevada"
"1126","Unprotected","Arizona",0,13902587.3,"Nevada"
"1127","Class 1","California",49559.37,49559.37,"Nevada"
"1128","Class 2","California",1953877.53,2052264.5,"Nevada"
"1129","Class 3","California",920161.32,1008907.44,"Nevada"
"1130","Class 4","California",2291847.98,2664427.29,"Nevada"
"1131","Unprotected","California",0,807790.12,"Nevada"
"1132","Class 2","Idaho",6391.36,20620.76,"Nevada"
"1133","Class 3","Idaho",15864.44,17912.19,"Nevada"
"1134","Class 4","Idaho",523868.81,690534.54,"Nevada"
"1135","Unprotected","Idaho",0,1174845.78,"Nevada"
"1136","Class 2","Oregon",838561.92,1005633.22,"Nevada"
"1137","Class 3","Oregon",26471.22,39516.77,"Nevada"
"1138","Class 4","Oregon",76900.96,131668.32,"Nevada"
"1139","Unprotected","Oregon",0,1291604.04,"Nevada"
"1140","Class 1","Utah",222282.74,222282.74,"Nevada"
"1141","Class 2","Utah",1106501.32,1530500.57,"Nevada"
"1142","Class 3","Utah",437706.46,564202.41,"Nevada"
"1143","Class 4","Utah",1048897.89,1473931.82,"Nevada"
"1144","Unprotected","Utah",0,6568571.37,"Nevada"
"1145","Class 2","Nevada",25627555.97,29582470.59,"Nevada"
"1146","Class 3","Nevada",11153739.75,13187914.39,"Nevada"
"1147","Class 4","Nevada",45400159.18,72781206.78,"Nevada"
"1148","Unprotected","Nevada",0,117976892.05,"Nevada"
"1149","Class 2","Arizona",2019001.93,2697356.29,"California"
"1150","Class 3","Arizona",984387.8,1211716.13,"California"
"1151","Class 4","Arizona",915452.31,1420493.31,"California"
"1152","Unprotected","Arizona",0,9149432.11,"California"
"1153","Class 2","Nevada",1393056.12,1615629.97,"California"
"1154","Class 3","Nevada",692871.45,836287.35,"California"
"1155","Class 4","Nevada",2333283.17,3532355.83,"California"
"1156","Unprotected","Nevada",0,5805377.84,"California"
"1157","Class 1","Oregon",178304.24,178304.24,"California"
"1158","Class 2","Oregon",375244.15,381073.01,"California"
"1159","Class 3","Oregon",1479750.97,1570339.6,"California"
"1160","Class 4","Oregon",2803421.93,3679348.83,"California"
"1161","Unprotected","Oregon",0,690441.22,"California"
"1162","Class 1","California",1825376.71,1825382.28,"California"
"1163","Class 2","California",44409682.19,46661114.13,"California"
"1164","Class 3","California",41515058.77,48940645.93,"California"
"1165","Class 4","California",68292216.49,84503407.66,"California"
"1166","Unprotected","California",0,105078420.76,"California"
"1167","Class 1","California",10867.47,10867.47,"Oregon"
"1168","Class 2","California",50281.53,50281.53,"Oregon"
"1169","Class 3","California",345872.35,364725.75,"Oregon"
"1170","Class 4","California",788758.49,886499.01,"Oregon"
"1171","Unprotected","California",0,62573.58,"Oregon"
"1172","Class 1","Idaho",575638.24,575638.24,"Oregon"
"1173","Class 2","Idaho",3591420.69,4010877.96,"Oregon"
"1174","Class 3","Idaho",3453601.16,3854291.66,"Oregon"
"1175","Class 4","Idaho",11058677.64,14948661.54,"Oregon"
"1176","Unprotected","Idaho",0,12879704.68,"Oregon"
"1177","Class 2","Nevada",788462.27,867316.09,"Oregon"
"1178","Class 3","Nevada",335767.99,350339.47,"Oregon"
"1179","Class 4","Nevada",2782797.6,3896639.77,"Oregon"
"1180","Unprotected","Nevada",0,4408897.66,"Oregon"
"1181","Class 1","Washington",43105.28,43105.28,"Oregon"
"1182","Class 2","Washington",937770.27,941144.14,"Oregon"
"1183","Class 3","Washington",3044339.29,3177471.85,"Oregon"
"1184","Class 4","Washington",7388303.46,8761262.84,"Oregon"
"1185","Unprotected","Washington",0,4413330.57,"Oregon"
"1186","Class 1","Oregon",1989884.38,1989894.34,"Oregon"
"1187","Class 2","Oregon",13716065.84,15170692,"Oregon"
"1188","Class 3","Oregon",26792207.35,27736174.42,"Oregon"
"1189","Class 4","Oregon",65046815.85,85175658.82,"Oregon"
"1190","Unprotected","Oregon",0,39581256,"Oregon"
"1191","Class 1","Idaho",258683.12,258683.12,"Washington"
"1192","Class 2","Idaho",420016.6,423207.23,"Washington"
"1193","Class 3","Idaho",1328616.25,1391638.64,"Washington"
"1194","Class 4","Idaho",8333774.54,9876840.92,"Washington"
"1195","Unprotected","Idaho",0,1352565.18,"Washington"
"1196","Class 1","Montana",6769774.68,6769774.68,"Washington"
"1197","Class 2","Montana",654303.98,654320.65,"Washington"
"1198","Class 3","Montana",4540098.17,4589679.89,"Washington"
"1199","Class 4","Montana",26437317.76,28504827,"Washington"
"1200","Unprotected","Montana",0,1128744.51,"Washington"
"1201","Class 1","Oregon",461861.68,461861.68,"Washington"
"1202","Class 2","Oregon",2807114.42,2819671.43,"Washington"
"1203","Class 3","Oregon",8326279.48,8519543.55,"Washington"
"1204","Class 4","Oregon",19993512.93,25503491.96,"Washington"
"1205","Unprotected","Oregon",0,5540763.63,"Washington"
"1206","Class 1","Washington",347822.69,347822.69,"Washington"
"1207","Class 2","Washington",11727471.97,11801183.83,"Washington"
"1208","Class 3","Washington",20944227.84,21608307.59,"Washington"
"1209","Class 4","Washington",47155303.47,55117888.99,"Washington"
"1210","Unprotected","Washington",0,26937188.86,"Washington"
"1211","Class 2","Hawaii",288437.42,340053.52,"Hawaii"
"1212","Class 3","Hawaii",879789.69,1077775.16,"Hawaii"
"1213","Class 4","Hawaii",3788668.99,4869020.74,"Hawaii"
"1214","Unprotected","Hawaii",0,8526886.39,"Hawaii"
"1215","Class 1","Alaska",6809876.13,6813407.64,"Alaska"
"1216","Class 2","Alaska",347887058.93,349820050.86,"Alaska"
"1217","Class 3","Alaska",388541182.63,405099564.87,"Alaska"
"1218","Class 4","Alaska",198466154.74,227206948.81,"Alaska"
"1219","Unprotected","Alaska",0,748821107.78,"Alaska"
